Filename,ID,Theme,Distance,Source,link
21_EH_Final.mov,21,Eudaimonic,,Human-created,https://player.vimeo.com/video/1079966958?h=a2abdaaada
22_EAI_Final.mov,22,Eudaimonic,,AI-generated,https://player.vimeo.com/video/1079967064?h=4841f644de
22_EH_Final.mov,22,Eudaimonic,,Human-created,https://player.vimeo.com/video/1079967181?h=7c176c6366
23_HAI_Final.mov,23,Hedonic,,AI-generated,https://player.vimeo.com/video/1079967256?h=ff51471dea
23_HH_Final.mov,23,Hedonic,,Human-created,https://player.vimeo.com/video/1079967355?h=fd0a8fef2e
24_HAI_Final.mov,24,Hedonic,,AI-generated,https://player.vimeo.com/video/1079967470?h=39a1d6b7ab
24_HH_Final.mov,24,Hedonic,,Human-created,https://player.vimeo.com/video/1079967583?h=406b7162a6
25_HAI_Final.mov,25,Hedonic,,AI-generated,https://player.vimeo.com/video/1079967656?h=68f8516e89
25_HH_Final.mov,25,Hedonic,,Human-created,https://player.vimeo.com/video/1079967755?h=78cfcf3e9f
26_HAI_Final.mov,26,Hedonic,,AI-generated,https://player.vimeo.com/video/1079967859?h=4d6c910ded
26_HH_Final.mov,26,Hedonic,,Human-created,https://player.vimeo.com/video/1079967963?h=6c7874616c
27_HAI_Final.mov,27,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968025?h=9f704f962e
27_HH_Final.mov,27,Hedonic,,Human-created,https://player.vimeo.com/video/1079968123?h=0ae8940721
28_HAI_Final.mov,28,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968224?h=85700264c3
28_HH_Final.mov,28,Hedonic,,Human-created,https://player.vimeo.com/video/1079968318?h=2b26677976
29_HAI_Final.mov,29,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968424?h=cad92537a4
29_HH_Final.mov,29,Hedonic,,Human-created,https://player.vimeo.com/video/1079968524?h=2e0f2d6463
30_HAI_Final.mov,30,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968610?h=da6046f94b
30_HH_Final.mov,30,Hedonic,,Human-created,https://player.vimeo.com/video/1079968636?h=cb8dae9151
31_HAI_Final.mov,31,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968670?h=115e2b88d5
31_HH_Final.mov,31,Hedonic,,Human-created,https://player.vimeo.com/video/1079968704?h=60754e8cb9
32_HAI_Final.mov,32,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968734?h=14cf2db1dc
32_HH_Final.mov,32,Hedonic,,Human-created,https://player.vimeo.com/video/1079968761?h=a328877eb0
33_HAI_Final.mov,33,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968795?h=0064a09431
33_HH_Final.mov,33,Hedonic,,Human-created,https://player.vimeo.com/video/1079968816?h=9ec650ae86
34_HAI_Final.mov,34,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968849?h=f3b250dded
34_HH_Final.mov,34,Hedonic,,Human-created,https://player.vimeo.com/video/1079968878?h=388d5e9a9a
35_HAI_Final.mov,35,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968904?h=1d4a9999e0
35_HH_Final.mov,35,Hedonic,,Human-created,https://player.vimeo.com/video/1079968931?h=30e8cb7f59
36_HAI_Final.mov,36,Hedonic,,AI-generated,https://player.vimeo.com/video/1079968963?h=7deb4388fa
36_HH_Final.mov,36,Hedonic,,Human-created,https://player.vimeo.com/video/1079968999?h=bf81c62933
